work_province,age,gender,work_title,work_type,work_contract_type,work_mode,years_experience,years_in_company,years_in_position,people_in_charge,company_size,office_days_number(hybrid),work_place_satisfaction,work_place_benefits,last_month_gross_salary,last_month_net_salary,salary_in_usd,salary_has_bonus,salary_bonus_tied_to,salary_satisfaction,platforms,programming_languages,frameworks,databases,qa_testing_tools,AI_tools_use,highest_level_studies,status,degree/specialization,university/school
Catamarca,36,Varón Cis,Infosec,Full-Time,Staff (planta permanente),100% remoto,10.0,1.0,1.0,0,De 201 a 500 personas,0,5,"Abono de Internet, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",680000.0,520000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Linux","Bash/Shell, Python",Angular,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Catamarca,45,Varón Cis,DevOps Engineer,Full-Time,Staff (planta permanente),100% presencial,23.0,2.0,2.0,4,De 201 a 500 personas,0,4,Ninguna de las anteriores,650000.0,520000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Docker, Kubernetes, Linux, VMWare, Windows Server","Bash/Shell, CSS, HTML, Javascript, PHP, SQL, TypeScript, VBA","Angular, Bootstrap, jQuery, Laravel, Node.js","MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL","PHPUnit, Postman",1,Maestría,Completo,Licenciatura en Sistemas de Información,Universidad Siglo 21
Catamarca,29,Mujer Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,0.0,0.0,0.0,0,De 11  a 50  personas,0,10,"Abono de Internet, Capacitaciones y/o cursos, ",125000.0,104000.0,No cobro mi salario en dolares,No,No recibo bono,3,Ninguna de las anteriores,"SQL, Oracle APEX, PL-SQL, SQL Developer",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,23,Mujer Cis,Business Analyst,Part-Time,Staff (planta permanente),Híbrido (presencial y remoto),2.0,2.0,0.0,0,De 501 a 1000 personas,1,7,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Sueldo dividido en dos pagos por mes",190000.0,240000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Azure, SAP, CRM",ABAP,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,32,Varón Cis,QA / Tester,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100% remoto,3.0,0.0,0.0,1,De 51 a 100 personas,0,7,Ninguna de las anteriores,250000.0,207000.0,No cobro mi salario en dolares,No,No recibo bono,1,"Docker, Linux",Java,Lippia,Ninguna de las anteriores,"Appium, Cucumber, Lippia, Selenium",2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,28,Varón Cis,Data Engineer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 11  a 50  personas,0,3,"Capacitaciones y/o cursos, Horarios flexibles",276000.0,229000.0,No cobro mi salario en dolares,No,No recibo bono,2,Amazon Web Services,"Python, SQL",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,3,Universitario,Completo,Analista Universitario de Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,28,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,2.0,2.0,1.0,0,De 2 a 10 personas,0,7,Ninguna de las anteriores,340000.0,250000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Docker, Linux","CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js","MongoDB, MySQL","Jest, Postman",2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,34,Varón Cis,Business Analyst,Full-Time,Staff (planta permanente),100% remoto,11.0,2.0,8.0,0,De 201 a 500 personas,0,7,"Abono de Internet, Clases de idiomas, Horarios flexibles",364000.0,312000.0,No cobro mi salario en dolares,Un sueldo,Performance de la compañía,3,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL","Postman, SoapUI",1,Maestría,Completo,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,30,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,4.0,3.0,3.0,0,De 201 a 500 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",509000.0,360000.0,Cobro todo el salario en dólares,Menos de un sueldo,Performance grupal,2,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, HTML, Javascript, PHP","Angular, Flask, Laravel, Node.js","MySQL, PostgreSQL","Cucumber, Cypress, Jest, Postman, Puppeteer, Selenium",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,52,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,20.0,0.0,0.0,0,De 101 a 200 personas,0,8,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",426000.0,354000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Docker, Linux","HTML, Javascript, PHP",Framework propio de la empresa,MySQL,"PHPUnit, Libreria Facker propia de la empresa",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,30,Varón Cis,Developer,Full-Time,Contractor,100% remoto,6.0,2.0,2.0,0,De 51 a 100 personas,0,8,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",300000.0,298000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Docker","Bash/Shell, Javascript, PHP, SQL, TypeScript","Laravel, Node.js","MariaDB, MySQL, PostgreSQL",Postman,2,Terciario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional
Chaco,43,Varón Cis,SysAdmin,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),14.0,13.0,5.0,8,De 501 a 1000 personas,5,5,Horarios flexibles,875000.0,600000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, Windows Server","Java, PHP, Python, SQL","Django, Symfony","MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,0,Universitario,Completo,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,24,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,1.5,1.5,1.5,0,De 11  a 50  personas,0,7,"Capacitaciones y/o cursos, Horarios flexibles",197161.41,181441.8,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Linux","CSS, HTML, Javascript, Python","Bootstrap, Flask, jQuery","Amazon DynamoDB, ElasticSearch, Google Cloud Storage, Firestore",Ninguna de las anteriores,2,Universitario,Incompleto,Ingeniería en Computación,UNC - Universidad Nacional de Córdoba
Chaco,38,Mujer Cis,Designer,Full-Time,Staff (planta permanente),100% presencial,15.0,12.0,12.0,0,De 101 a 200 personas,0,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",410000.0,360000.0,No cobro mi salario en dolares,No,No recibo bono,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,65,Hombre,Manager / Director,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),30.0,19.0,19.0,13,De 1001 a 2000 personas,3,8,Capacitaciones y/o cursos,500000.0,365000.0,No cobro mi salario en dolares,De uno a tres sueldos,Mix de las anteriores,2,"Azure, SAP, Windows Server","Python, SQL, VBA",Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL",Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,41,Varón Cis,BI Analyst / Data Analyst,Full-Time,Tercerizado (trabajo a través de consultora o agencia),Híbrido (presencial y remoto),7.0,1.0,1.0,0,De 501 a 1000 personas,1,5,Ninguna de las anteriores,290000.0,250000.0,No cobro mi salario en dolares,No,No recibo bono,1,"Azure, Windows Server","Python, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle",Ninguna de las anteriores,2,Posgrado/Especialización,En curso,Ingeniería en Informática,
Chaco,36,Mujer Cis,BI Analyst / Data Analyst,Part-Time,Tercerizado (trabajo a través de consultora o agencia),100% remoto,12.0,5.0,4.0,1,De 201 a 500 personas,0,5,Horarios flexibles,260000.0,212000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Mainframe, Windows Server","Java, SQL",Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,0,Universitario,Completo,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,39,Varón Cis,Soporte e implementaciones,Full-Time,Staff (planta permanente),100% presencial,17.0,1.0,10.0,0,De 51 a 100 personas,0,2,Ninguna de las anteriores,207000.0,275000.0,No cobro mi salario en dolares,No,No recibo bonos,2,"Linux, VMWare, Windows Server","HTML, PHP, SQL","Spark, WordPress","Microsoft SQL Server, MySQL, Sybase",Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,25,Mujer Cis,Developer,Full-Time,Contractor,100% remoto,2.0,0.0,0.0,0,1 (solamente yo),0,10,"Horarios flexibles, Sueldo dividido en dos pagos por mes",1932000.0,1854720.0,Cobro todo el salario en dólares,No,No recibo bono,4,"Amazon Web Services, Docker","Python, TypeScript",Django,PostgreSQL,Postman,4,Universitario,Incompleto,Ingeniería en Computación,
Chaco,21,Prefiero no decir,Data Engineer,Full-Time,Staff (planta permanente),100% remoto,1.0,0.0,0.0,0,De 51 a 100 personas,0,10,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",230000.0,1900000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Google Cloud Platform, SAP",Python,Apache BEAM,"Google Cloud Storage, Sybase, Big Query",Ninguna de las anteriores,3,Universitario,En curso,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,38,Varón Cis,QA / Tester,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),5.0,1.0,1.0,0,De 101 a 200 personas,2,1,Ninguna de las anteriores,200000.0,240000.0,No cobro mi salario en dolares,No,No recibo bono,1,"Azure, *BSD, SAP, Windows Server",SQL,Oond,"Microsoft SQL Server, MySQL","Katalon, Selenium",3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,36,Varón Cis,SysAdmin,Full-Time,Staff (planta permanente),100% remoto,13.0,0.0,0.0,0,De 201 a 500 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",346500.0,291595.0,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Linux, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,42,Varón Cis,Field service,Full-Time,Staff (planta permanente),100% presencial,16.0,16.0,8.0,0,Más de 10000 personas,0,10,"Abono de celular, Abono de Internet, Vacaciones flexibles (adicionales a las reglamentarias)",600000.0,405000.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,2,"Azure, VMWare",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,33,Mujer Cis,Developer,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100% remoto,6.0,2.0,2.0,0,De 101 a 200 personas,0,8,"Capacitaciones y/o cursos, Clases de idiomas",403000.0,360000.0,No cobro mi salario en dolares,No,No recibo bono,2,OpenShift,"HTML, Java, Javascript","React.js, Spring",MongoDB,Jest,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,26,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 11  a 50  personas,0,10,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",482000.0,,No cobro mi salario en dolares,De uno a tres sueldos,"performance individual, grupal y de la compañia",4,Google Cloud Platform,"Groovy, Java, Javascript, SQL","Spark, Spring",Google Cloud Storage,"JUnit, Postman",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,27,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,0.0,0.0,0.0,0,De 501 a 1000 personas,0,0,Ninguna de las anteriores,359944.23,298768.02,No cobro mi salario en dolares,No,No recibo bono,3,"Docker, Kubernetes, Mule",Java,Spring,"Informix, Microsoft SQL Server, MongoDB","JUnit, SoapUI",3,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional
Chaco,30,Mujer Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 501 a 1000 personas,0,5,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",275000.0,255000.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,2,Salesforce,"SQL, APEX",Salesforce,Ninguna de las anteriores,Ninguna de las anteriores,2,Universitario,Incompleto,,
Chaco,31,Varón Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,4.0,2.0,2.0,0,De 2 a 10 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",700000.0,352500.0,Cobro todo el salario en dólares,No,No recibo bono,3,Linux,"Bash/Shell, HTML",Ninguno de los anteriores,Ninguna de las anteriores,Postman,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,26,Varón Cis,Data Engineer,Full-Time,Staff (planta permanente),100% remoto,2.0,0.0,0.0,0,De 201 a 500 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",1040000.0,935000.0,Mi sueldo está dolarizado (pero cobro en moneda local),Menos de un sueldo,No recibo bono,4,Azure,"Python, SQL",Django,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna de las anteriores,5,Universitario,En curso,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Chaco,25,Varón Cis,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),1.0,1.0,1.0,0,De 11  a 50  personas,2,0,"Estacionamiento gratuito / subvencionado, Horarios flexibles",175000.0,146000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Docker, Jira","Bash/Shell, CSS, Dart, HTML, Javascript","Bootstrap, Flutter, Vue.js",Ninguna de las anteriores,Jest,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,29,Varón Cis,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),2.0,1.0,1.0,0,De 101 a 200 personas,2,8,Ninguna de las anteriores,330000.0,280000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Kubernetes, OpenShift","CSS, HTML, Java, Javascript, TypeScript","React.js, MUI",Ninguna de las anteriores,Jest,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,23,Varón Cis,Developer,Part-Time,Contractor,Híbrido (presencial y remoto),4.0,2.0,2.0,0,De 101 a 200 personas,4,8,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",53000.0,48000.0,No cobro mi salario en dolares,No,No recibo bono,1,Docker,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, CodeIgniter, jQuery, Node.js, React.js, NestJs","MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,4,Universitario,En curso,Ingenieria en Sistemas,
Chaco,37,Mujer Cis,Developer,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100% remoto,5.0,0.0,0.0,0,De 11  a 50  personas,0,1,Horarios flexibles,360000.0,316000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Amazon Web Services, Docker, Linux",Javascript,"React.js, ARC XP",MongoDB,"Jest, Selenium",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Chaco,30,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,2.0,0.0,0.0,2,De 501 a 1000 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",400000.0,340000.0,No cobro mi salario en dolares,No,No recibo bono,3,Ninguna de las anteriores,"Javascript, Kotlin, Swift, TypeScript",React Native,MongoDB,Jest,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
